timestamp,open,high,low,close,volume
1768950000,88453.2,88481.0,87822.0,88379.9,4863.673
1768953600,88379.9,88935.5,88202.2,88884.0,2794.375
1768957200,88884.0,89119.0,88800.0,88975.1,1494.861
1768960800,88975.1,89314.2,88944.1,89000.0,1719.802
1768964400,89000.0,89560.0,88986.2,89382.6,1724.005
1768968000,89382.6,89597.1,89285.6,89402.4,1003.486
1768971600,89402.4,90099.6,89377.5,89917.2,2769.621
1768975200,89917.2,89917.2,89450.0,89613.4,1799.154
1768978800,89613.4,89726.6,89048.3,89175.0,2351.661
1768982400,89175.0,89357.8,88947.5,89161.3,1854.624
1768986000,89161.3,89452.7,89022.5,89072.0,1317.029
1768989600,89072.0,89354.2,89022.0,89196.0,711.317
1768993200,89196.0,89347.2,88642.2,88750.9,2143.088
1768996800,88750.9,88815.8,88145.2,88701.9,4592.057
1769000400,88701.9,88989.0,88508.6,88619.3,3091.403
1769004000,88619.3,89959.8,88550.5,89757.0,11436.73
1769007600,89757.0,90542.2,89720.0,90235.2,7279.389
1769011200,90235.2,90314.8,87524.7,87549.4,13250.081
1769014800,87549.4,88119.9,87212.0,87882.4,8180.173
1769018400,87882.4,88618.7,87536.8,88436.0,4032.501
1769022000,88436.0,90440.3,88240.9,90329.5,12728.342
1769025600,90329.5,90350.0,89415.2,90174.4,5662.469
1769029200,90174.4,90305.0,89927.8,90205.4,1882.093
1769032800,90205.4,90361.5,89711.0,89723.8,1418.822
1769036400,89723.8,90212.2,89311.5,89410.1,3746.991
1769040000,89410.1,89992.7,89410.0,89873.8,1667.96
