timestamp,open,high,low,close,volume
1768953540,88390.2,88400.0,88367.7,88379.9,14.844
1768953600,88379.9,88491.0,88318.7,88489.7,79.752
1768953660,88489.7,88500.0,88401.1,88467.7,47.981
1768953720,88467.7,88481.6,88401.8,88466.1,44.892
1768953780,88466.1,88533.8,88466.0,88518.0,43.646
1768953840,88518.0,88573.4,88518.0,88534.9,42.897
1768953900,88534.9,88568.3,88524.0,88561.4,25.689
1768953960,88561.4,88561.5,88455.7,88456.7,46.628
1768954020,88456.7,88539.4,88453.0,88526.1,19.709
1768954080,88526.1,88531.0,88466.7,88482.1,14.196
1768954140,88482.1,88506.7,88464.2,88490.5,13.26
1768954200,88490.5,88507.3,88446.1,88465.9,17.831
1768954260,88465.9,88465.9,88416.0,88434.0,15.618
1768954320,88434.0,88462.3,88404.5,88437.9,23.95
1768954380,88437.9,88447.5,88412.3,88426.3,16.464
1768954440,88426.3,88431.1,88321.3,88367.4,112.812
1768954500,88367.4,88420.1,88348.2,88370.7,24.986
1768954560,88370.7,88370.7,88327.2,88335.1,17.23
1768954620,88335.1,88335.2,88260.0,88300.0,77.426
1768954680,88300.0,88426.6,88297.5,88382.2,28.281
1768954740,88382.2,88398.0,88354.6,88358.1,11.584
1768954800,88358.1,88358.2,88202.2,88202.6,80.391
1768954860,88202.6,88329.9,88202.6,88323.9,44.612
1768954920,88323.9,88323.9,88260.9,88283.2,36.062
1768954980,88283.2,88304.8,88250.6,88271.4,22.128
1768955040,88271.4,88335.0,88271.3,88325.6,24.716
1768955100,88325.6,88354.5,88303.4,88303.5,19.628
1768955160,88303.5,88348.8,88284.2,88347.0,17.021
1768955220,88347.0,88450.0,88334.1,88433.2,33.369
1768955280,88433.2,88498.8,88429.1,88496.1,22.619
1768955340,88496.1,88561.5,88495.0,88518.3,56.548
1768955400,88518.3,88524.8,88452.1,88490.4,40.19
1768955460,88490.4,88531.3,88479.5,88531.3,10.109
1768955520,88531.3,88558.5,88528.6,88558.5,22.586
1768955580,88558.5,88560.0,88523.6,88550.3,14.414
1768955640,88550.3,88564.9,88520.2,88562.4,18.423
1768955700,88562.4,88777.9,88562.4,88728.0,260.879
1768955760,88728.0,88851.8,88681.6,88851.8,179.742
1768955820,88851.8,88865.0,88788.7,88811.9,256.012
1768955880,88811.9,88906.3,88804.6,88850.9,158.273
1768955940,88850.9,88901.4,88817.1,88844.8,183.635
1768956000,88844.8,88851.5,88778.2,88778.2,39.982
1768956060,88778.2,88804.9,88766.5,88794.2,35.449
1768956120,88794.2,88804.9,88784.6,88804.9,47.697
1768956180,88804.9,88820.8,88783.2,88805.8,18.366
1768956240,88805.8,88825.5,88794.1,88794.2,22.743
1768956300,88794.2,88825.4,88784.5,88785.7,22.902
1768956360,88785.7,88817.0,88773.9,88795.5,39.571
1768956420,88795.5,88899.9,88795.4,88827.4,31.647
1768956480,88827.4,88858.9,88790.8,88853.5,24.592
1768956540,88853.5,88883.8,88828.3,88883.8,22.291
1768956600,88883.8,88884.0,88836.1,88874.9,33.607
1768956660,88874.9,88919.9,88874.9,88880.1,32.095
1768956720,88880.1,88921.0,88826.8,88852.8,59.879
1768956780,88852.8,88927.0,88852.7,88898.3,38.181
1768956840,88898.3,88935.5,88882.3,88899.7,26.722
1768956900,88899.7,88900.6,88875.4,88900.6,23.291
1768956960,88900.6,88900.6,88835.2,88867.5,15.129
1768957020,88867.5,88883.4,88867.4,88877.0,10.513
1768957080,88877.0,88900.0,88875.8,88875.9,12.105
1768957140,88875.9,88888.0,88868.9,88884.0,11.424
