symbol,direction,entry_time,entry,sl,tp1,tp2,context_id,tbs_time,model1_time_ts,tbs_sweep_time,model1_time,confirmation_time
BTCUSDT,SELL,1769037600,89927.9,90289.18857142857,89738.55,89377.5,BTCUSDT-5802465f2aea,1769037240,1769037240,2026-01-22T02:14:00+00:00,2026-01-22T02:14:00+00:00,2026-01-22T02:20:00+00:00
BTCUSDT,SELL,1769037600,89927.9,90289.18857142857,89255.15,88550.5,BTCUSDT-e7ac781d5af9,1769037240,1769037240,2026-01-22T02:14:00+00:00,2026-01-22T02:14:00+00:00,2026-01-22T02:20:00+00:00
