context_id,direction,is_primary,is_activated,status,key_level_type,key_level_price,key_level_zone_low,key_level_zone_high,crt_high,crt_low,crt_mid,created_at,expire_at,sweeps_count
BTCUSDT-154515e4d2c0,SELL,False,False,ACTIVE,OHP,89597.1,,,90099.6,89377.5,89738.55,1768975200,1768989600,0
BTCUSDT-baafc8e44588,BUY,False,False,ACTIVE,OLP,88947.5,,,89347.2,88642.2,88994.7,1768993200,1769007600,0
BTCUSDT-64eb9f6b1df5,SELL,False,False,ACTIVE,OHP,90099.6,,,89959.8,88550.5,89255.15,1769004000,1769018400,0
BTCUSDT-931aeea92327,BUY,False,False,ACTIVE,OLP,88947.5,,,89959.8,88550.5,89255.15,1769004000,1769018400,0
BTCUSDT-3c4def6d4e55,SELL,False,False,ACTIVE,OHP,90099.6,,,90314.8,87524.7,88919.75,1769011200,1769025600,0
BTCUSDT-182efbc623a2,BUY,True,False,ACTIVE,OLP,88145.2,,,90314.8,87524.7,88919.75,1769011200,1769025600,0
BTCUSDT-d76f84e9ce60,SELL,True,False,ACTIVE,FVG,,88989.0,89720.0,90440.3,88240.9,89340.6,1769036400,1769050800,0
