ts,open,high,low,close,volume
1768780800,93624.6,93624.6,91800.2,92652.4,18292.426
1768784400,92652.4,92824.5,92161.0,92532.3,3797.432
1768788000,92532.3,92618.3,92321.7,92511.2,1874.142
1768791600,92511.2,92745.5,92432.4,92636.7,1654.104
1768795200,92636.7,92707.8,92436.9,92618.1,1281.171
1768798800,92618.1,92765.3,92452.0,92470.4,924.793
1768802400,92470.4,92583.4,92340.1,92548.2,1272.359
1768806000,92548.2,92814.5,92504.0,92780.1,993.697
1768809600,92780.1,93314.0,92631.3,93194.9,2984.088
1768813200,93194.9,93225.4,92868.9,93000.0,1831.896
1768816800,93000.0,93041.9,92835.0,93028.4,1058.321
1768820400,93028.4,93278.7,92914.3,93144.7,1132.28
1768824000,93144.7,93190.1,92956.9,93035.6,1119.371
1768827600,93035.6,93122.2,92702.0,92993.6,1657.413
1768831200,92993.6,93000.0,92648.3,92761.2,1919.874
1768834800,92761.2,93037.3,92761.2,93010.1,1461.083
1768838400,93010.1,93377.0,92941.4,93257.1,1787.006
1768842000,93257.1,93354.0,93090.1,93186.1,1655.023
1768845600,93186.1,93222.9,92869.7,93013.7,1075.327
1768849200,93013.7,93109.6,92936.5,93050.7,719.971
1768852800,93050.7,93261.8,93050.7,93097.2,617.488
1768856400,93097.2,93299.9,92935.9,92960.1,795.168
1768860000,92960.1,93024.0,92505.7,92521.9,2060.654
1768863600,92521.9,92718.6,92111.2,92584.3,4078.261
1768867200,92584.3,92846.4,92315.8,92673.4,1849.766
1768870800,92673.4,92847.1,92482.0,92687.1,1121.632
1768874400,92687.1,92691.0,92327.6,92510.8,1398.454
1768878000,92510.8,92604.5,92203.1,92396.4,1541.611
1768881600,92396.4,92435.6,91950.0,92026.5,2653.165
1768885200,92026.5,92041.4,91235.8,91587.9,8570.588
1768888800,91587.9,91590.0,90720.5,90891.5,6640.267
1768892400,90891.5,91241.6,90809.7,91124.9,2559.43
1768896000,91124.9,91200.0,90610.1,91067.4,3710.403
1768899600,91067.4,91067.4,90833.5,90981.3,1327.212
1768903200,90981.3,91257.3,90947.2,91212.2,1255.972
1768906800,91212.2,91415.9,91160.7,91177.3,1729.474
1768910400,91177.3,91275.4,91005.9,91230.1,1558.818
1768914000,91230.1,91248.3,90718.8,90915.8,2947.951
1768917600,90915.8,91339.0,90200.0,90483.8,9081.819
1768921200,90483.8,90766.3,89800.5,90635.2,10311.236
1768924800,90635.2,90920.0,89957.7,90115.1,3920.087
1768928400,90115.1,90459.3,89374.4,89730.3,6915.208
1768932000,89730.3,89914.7,89350.5,89450.6,2938.994
1768935600,89450.6,89762.3,89228.2,89680.8,3771.163
1768939200,89680.8,89826.0,89357.0,89701.4,2882.183
1768942800,89701.4,89807.0,89374.3,89424.9,1702.416
1768946400,89424.9,89616.8,87773.1,88453.2,8730.969
1768950000,88453.2,88481.0,87822.0,88379.9,4863.673
1768953600,88379.9,88935.5,88202.2,88884.0,2794.375
1768957200,88884.0,89119.0,88800.0,88975.1,1494.861
1768960800,88975.1,89314.2,88944.1,89000.0,1719.802
1768964400,89000.0,89560.0,88986.2,89382.6,1724.005
1768968000,89382.6,89597.1,89285.6,89402.4,1003.486
1768971600,89402.4,90099.6,89377.5,89917.2,2769.621
1768975200,89917.2,89917.2,89450.0,89613.4,1799.154
1768978800,89613.4,89726.6,89048.3,89175.0,2351.661
1768982400,89175.0,89357.8,88947.5,89161.3,1854.624
1768986000,89161.3,89452.7,89022.5,89072.0,1317.029
1768989600,89072.0,89354.2,89022.0,89196.0,711.317
1768993200,89196.0,89347.2,88642.2,88750.9,2143.088
1768996800,88750.9,88815.8,88145.2,88701.9,4592.057
1769000400,88701.9,88989.0,88508.6,88619.3,3091.403
1769004000,88619.3,89959.8,88550.5,89757.0,11436.73
1769007600,89757.0,90542.2,89720.0,90235.2,7279.389
1769011200,90235.2,90314.8,87524.7,87549.4,13250.081
1769014800,87549.4,88119.9,87212.0,87882.4,8180.173
1769018400,87882.4,88618.7,87536.8,88436.0,4032.501
1769022000,88436.0,90440.3,88240.9,90329.5,12728.342
1769025600,90329.5,90350.0,89415.2,90174.4,5662.469
1769029200,90174.4,90305.0,89927.8,90205.4,1882.093
1769032800,90205.4,90361.5,89711.0,89723.8,1418.822
1769036400,89723.8,90212.2,89311.5,89410.1,3746.991
1769040000,89410.1,89992.7,89410.0,89873.8,1667.96
1769043600,89873.8,90172.2,89773.2,90062.4,1879.98
1769047200,90062.4,90337.9,89780.2,89899.5,2203.182
1769050800,89899.5,90133.4,89650.1,89849.5,1673.602
1769054400,89849.5,90041.1,89776.5,89955.0,1275.305
1769058000,89955.0,90037.0,89877.0,89983.8,559.222
1769061600,89983.8,90174.1,89850.0,90130.0,1373.636
1769065200,90130.0,90159.9,89747.0,89772.6,1690.33
1769068800,89772.6,89925.8,89701.9,89872.0,944.235
1769072400,89872.0,90083.0,89833.8,89988.8,816.746
1769076000,89988.8,90072.0,89908.2,90023.7,790.485
1769079600,90023.7,90100.0,89850.0,89895.0,1052.532
1769083200,89895.0,90061.0,89822.9,89968.6,684.313
1769086800,89968.6,90296.8,89432.5,89563.9,4558.943
1769090400,89563.9,89700.0,89000.0,89027.6,7699.163
1769094000,89027.6,89418.4,88462.3,88945.4,8749.861
1769097600,88945.4,89223.3,88621.0,88997.1,4226.546
1769101200,88997.1,89580.0,88963.3,89500.0,2777.829
1769104800,89500.0,89749.0,89253.0,89295.5,2442.938
1769108400,89295.5,89883.9,89062.4,89730.9,3263.413
1769112000,89730.9,89909.2,89346.2,89371.2,2180.315
1769115600,89371.2,89634.9,89202.2,89226.8,1174.158
1769119200,89226.8,89545.5,89104.0,89302.4,1268.013
1769122800,89302.4,89569.6,89121.0,89511.7,1062.486
